UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,loan_default
636192,32584,59947,56.05,20,16806,49,6161,15-06-1960,Self employed,29-10-2018,5,0
585070,50803,64937,80.85,34,21081,45,1050,16-03-1995,Self employed,17-10-2018,6,0
521396,53303,66911,82.2,3,20981,86,564,22-08-1990,Self employed,20-09-2018,15,1
476937,66169,85161,79.85,9,16120,86,5454,15-10-1982,Self employed,30-08-2018,3,0
441857,55441,73263,79.99,120,22936,86,6912,01-01-1975,Self employed,16-08-2018,12,0
541263,59247,69163,88.34,121,21043,86,3627,15-02-1994,Self employed,27-09-2018,9,0
490152,37639,66668,58.5,61,23445,51,1309,09-03-1993,Salaried,05-09-2018,6,0
545462,42002,66194,66.47,48,17906,86,6259,01-01-1980,Salaried,28-09-2018,5,0
624918,56579,80319,73.46,10,22842,86,5699,02-01-1990,Self employed,26-10-2018,3,0
601136,53117,89039,60.69,65,16166,48,6815,20-06-1987,Self employed,22-10-2018,13,0
535588,55259,74137,76.88,103,22879,49,6974,01-01-1969,Salaried,25-09-2018,7,0
451962,48058,72213,70.62,120,21796,45,6951,22-03-1987,Self employed,21-08-2018,12,0
601492,59947,74424,82.63,18,14234,86,2691,20-09-1988,Self employed,22-10-2018,4,0
638142,39439,67024,59.68,34,21081,45,1063,25-08-1992,Self employed,29-10-2018,6,0
594575,54113,74894,74.91,117,24204,48,1929,01-06-1988,Salaried,21-10-2018,4,0
470044,56126,64210,89.55,61,16487,45,1333,28-05-1966,Salaried,28-08-2018,6,1
418598,58959,67900,88.37,136,23468,86,3794,17-04-1994,Salaried,01-08-2018,8,0
483765,43394,61346,73.35,63,16309,45,7085,03-07-1991,Salaried,31-08-2018,10,0
549135,66169,76520,87.56,117,23606,86,2113,07-03-1970,Self employed,29-09-2018,4,0
561519,55259,71090,78.77,5,16535,51,3384,15-12-1992,Salaried,08-10-2018,9,0
425582,37439,70928,54.99,11,23988,49,5956,03-01-1994,Self employed,07-08-2018,3,0
647623,49145,58311,85.75,61,15897,45,1240,01-06-1969,Self employed,31-10-2018,6,0
437155,46369,61783,79.31,105,18178,86,1265,18-08-1989,Salaried,14-08-2018,6,0
549745,36659,69454,56.15,9,16430,45,5401,19-02-1993,Self employed,29-09-2018,3,0
638884,52803,80900,67.24,8,17477,86,5638,01-07-1990,Self employed,29-10-2018,3,0
544223,51303,69300,75.76,79,20996,45,766,02-06-1974,Self employed,28-09-2018,18,0
548999,42844,69462,64.06,10,15651,86,5696,16-07-1975,Self employed,29-09-2018,3,0
449683,25101,63418,42.57,11,24305,86,5989,18-04-1995,Self employed,20-08-2018,3,0
630822,49803,65783,77.53,70,16759,45,2405,01-01-1991,Salaried,27-10-2018,4,0
497011,61146,94173,70,36,24165,48,6644,03-03-1965,Salaried,08-09-2018,13,0
633049,78686,96732,83.74,152,24460,120,4911,01-01-1973,Self employed,28-10-2018,3,0
572033,48928,72663,69.98,120,21514,51,6947,01-01-1983,Salaried,12-10-2018,12,1
419432,35679,52650,72.17,20,20348,45,6451,16-01-1997,Salaried,03-08-2018,5,0
430886,43845,70757,64.59,65,23854,86,6814,27-08-1993,Self employed,10-08-2018,13,1
630529,44749,70533,65.93,147,17223,86,2796,01-01-1981,Self employed,27-10-2018,2,0
436494,56313,64863,89.88,36,21242,86,6579,01-01-1993,Self employed,13-08-2018,13,1
578948,40395,64989,64.63,15,13448,86,293,01-01-1993,Salaried,15-10-2018,11,0
651651,54759,67552,82.9,67,16694,86,1446,10-06-1975,Self employed,31-10-2018,6,1
615141,98390,158115,63.18,85,23127,49,1974,07-05-1999,,24-10-2018,4,1
569238,37439,83822,46.53,11,23178,51,5945,01-11-1958,Self employed,11-10-2018,3,0
631504,23050,71371,35.03,63,18636,86,7119,06-01-1992,Salaried,27-10-2018,10,0
534922,47849,69175,70.83,19,22752,86,1810,10-04-1982,Salaried,25-09-2018,4,0
471268,62513,71982,88.63,15,15733,86,298,28-08-1990,Self employed,29-08-2018,11,1
548658,59098,64746,94.99,19,14237,45,1883,15-12-1976,Salaried,29-09-2018,4,0
621040,43894,63460,70.91,67,18166,86,1465,15-08-1973,Self employed,25-10-2018,6,0
498524,61660,95713,66.57,254,21251,48,6766,01-03-1994,Self employed,10-09-2018,13,0
427036,48988,66061,80.23,74,16646,86,2593,26-05-2000,,08-08-2018,4,0
477264,52303,59269,89.93,19,22335,45,1871,26-04-1988,Salaried,30-08-2018,4,0
481655,44349,62020,73.36,34,18312,51,981,11-05-1994,Self employed,31-08-2018,6,0
450958,54843,67462,87.46,42,16392,86,5340,19-06-1997,Self employed,20-08-2018,3,1
650316,55763,67108,85.68,105,20333,45,1292,18-09-1997,Salaried,31-10-2018,6,1
641658,62107,87298,73.31,61,20582,86,1423,01-01-1989,Salaried,30-10-2018,6,0
574470,59323,70283,89.64,3,16092,51,31,15-06-1984,Self employed,13-10-2018,1,0
440865,49303,59150,86.22,79,21556,45,770,05-06-1969,Salaried,16-08-2018,18,0
641342,57463,73711,80.31,85,17139,86,1959,01-01-1991,Salaried,30-10-2018,4,0
489549,43394,65736,68.46,3,17431,86,559,04-08-1971,Self employed,04-09-2018,15,0
609775,50458,72000,75,78,16803,86,2082,25-01-1985,Self employed,24-10-2018,4,0
579822,62947,73837,86.68,34,22275,86,1073,01-06-1973,Self employed,15-10-2018,6,0
455835,39439,59782,66.91,61,15897,45,1374,05-06-1980,Self employed,22-08-2018,6,0
480879,51888,61865,85,34,15196,86,995,08-02-1965,Self employed,31-08-2018,6,0
572698,41000,74000,56.22,2,14770,86,1650,08-12-1975,Self employed,12-10-2018,4,0
516723,55413,66731,84.67,61,17189,51,1323,01-06-1969,Self employed,19-09-2018,6,0
519564,70116,84469,85,19,14375,86,1856,22-09-1972,Salaried,19-09-2018,4,1
619701,54413,66513,84.19,20,14004,86,6164,07-05-1996,Self employed,25-10-2018,5,0
555059,49652,70024,72.22,36,24251,49,6693,01-01-1988,Self employed,03-10-2018,13,0
475519,67169,94918,72.69,103,22879,49,6977,15-01-1995,Self employed,30-08-2018,7,0
538449,45389,66574,72.1,19,22857,86,1907,04-02-1984,Salaried,26-09-2018,4,0
484045,56306,86911,70,36,24165,48,6665,01-01-1962,Self employed,31-08-2018,13,1
619965,92555,124950,76.03,29,16080,86,5861,20-10-1986,Self employed,25-10-2018,3,0
534032,60786,79239,79.3,85,17139,86,1972,15-05-1995,Salaried,25-09-2018,4,1
490215,40494,60606,69.47,257,23770,86,953,10-11-1987,Self employed,05-09-2018,6,1
564685,63147,73879,87.98,10,13612,86,5656,01-01-1971,Self employed,09-10-2018,3,0
467117,55119,64398,88.68,79,22815,86,772,30-06-1966,Salaried,27-08-2018,18,0
508125,48349,67316,72.79,74,21347,86,2578,01-01-1972,Self employed,15-09-2018,4,0
622266,63147,73385,87.89,135,20676,86,1800,07-11-1992,Salaried,26-10-2018,4,0
632464,59059,80872,73.94,8,23520,51,5542,24-11-1970,Self employed,27-10-2018,3,0
426085,43394,66908,67.26,20,22967,51,6241,15-07-1976,Self employed,07-08-2018,5,0
627862,56259,65188,88.97,250,23986,86,1550,11-10-1991,Salaried,26-10-2018,6,0
581518,57259,73634,78.77,147,24022,51,2784,05-03-1982,Salaried,16-10-2018,2,0
438887,50803,57808,89.95,15,14300,45,295,03-11-1980,Self employed,14-08-2018,11,0
604356,46549,60419,79.45,3,18029,86,44,01-01-1988,Self employed,23-10-2018,1,0
464881,56259,74400,77.96,11,20789,86,5642,08-04-1994,Self employed,25-08-2018,3,0
634853,31341,103000,32.04,152,18578,51,6050,06-03-1995,Salaried,28-10-2018,3,0
435140,41244,59265,75.93,74,16846,45,2610,01-01-1996,Salaried,13-08-2018,4,0
641744,82386,102000,82.35,2,22764,86,1730,16-06-1993,Salaried,30-10-2018,4,0
648626,58259,72501,81.38,146,16445,86,2998,01-01-1988,Salaried,31-10-2018,14,1
521989,59013,75049,79.95,130,16310,86,994,02-01-1987,Self employed,20-09-2018,6,1
450969,43622,62330,72.2,19,14375,86,1838,09-05-1991,,20-08-2018,4,0
456321,51303,63950,82.88,68,18059,86,853,01-01-1970,Self employed,22-08-2018,6,0
594982,65082,74176,89.92,2,22293,45,1730,17-09-1995,Self employed,21-10-2018,4,1
623775,51103,68856,75.23,79,21177,45,750,13-11-1995,Self employed,26-10-2018,18,1
418710,57986,83323,74.41,7,23344,120,5781,19-07-1992,Salaried,01-08-2018,3,0
427295,34169,62460,58.37,250,23163,49,1546,29-03-1990,Salaried,08-08-2018,6,0
592187,51582,66402,78.31,136,15941,51,3721,02-05-1988,Salaried,20-10-2018,8,0
631350,75181,98310,79.85,152,17364,48,5149,18-04-1985,Self employed,27-10-2018,3,0
543729,58259,77918,77,85,18392,86,2004,01-01-1992,Self employed,28-09-2018,4,0
647865,53303,64350,83.92,3,14078,45,51,16-09-1979,Self employed,31-10-2018,1,0
553934,49913,66782,80.86,19,16982,86,1844,18-01-1970,Self employed,30-09-2018,4,0
438870,57705,66200,89.19,2,14770,45,1667,01-03-1984,Salaried,14-08-2018,4,0
511486,58013,83800,71.6,159,23371,49,7210,01-01-1996,Self employed,17-09-2018,7,0
554746,56313,67666,85.72,159,24406,86,7234,01-01-1987,Self employed,03-10-2018,7,1
483813,22074,45551,50.49,14,24059,45,820,10-09-1992,Salaried,31-08-2018,15,0
565136,48145,54700,89.58,73,24325,45,281,25-02-1993,Salaried,09-10-2018,11,0
431831,56259,66105,87.74,74,17113,86,2578,15-08-1990,Salaried,10-08-2018,4,0
426795,61499,69500,89.62,2,22858,86,1607,30-11-1988,Salaried,08-08-2018,4,0
543750,49803,62165,82.84,3,18180,86,51,01-01-1989,Self employed,28-09-2018,1,0
518036,56100,70000,81.71,15,23158,45,300,01-01-1983,Salaried,19-09-2018,11,0
535704,70000,96146,74.89,146,13988,48,2944,10-10-1971,Self employed,25-09-2018,14,0
640695,67882,86079,80.16,48,17827,86,6295,01-01-1982,Self employed,30-10-2018,5,0
632800,49145,80638,62.01,9,16120,86,5469,02-11-1994,Self employed,27-10-2018,3,0
533751,54303,70338,78.19,202,23323,86,782,08-03-1984,Salaried,25-09-2018,18,0
594413,52303,59052,89.75,14,24037,45,820,14-05-1968,Self employed,21-10-2018,15,0
612294,79086,103492,79.23,42,23305,49,5350,14-07-1968,Self employed,24-10-2018,3,1
559843,52878,74225,72.48,65,18065,45,6852,26-02-1993,Self employed,06-10-2018,13,0
473542,55513,69784,82.4,70,21465,86,2432,08-11-1989,Self employed,29-08-2018,4,0
522027,56013,68880,87.11,5,13975,45,3442,06-04-1983,Self employed,20-09-2018,9,1
583685,56509,74270,78.09,5,17980,86,3396,09-10-1986,Salaried,16-10-2018,9,0
451506,39394,68674,59.7,11,23949,45,5969,01-01-1976,Self employed,20-08-2018,3,0
612040,51303,75123,70.55,36,23697,120,6562,01-01-1972,Salaried,24-10-2018,13,0
626451,55259,76573,73.79,18,21537,86,2721,08-12-1978,Self employed,26-10-2018,4,0
509537,65982,77950,86.59,18,22708,86,2699,15-12-1990,Self employed,16-09-2018,4,0
553995,63947,82000,79.27,2,22998,120,1634,18-12-1980,Self employed,30-09-2018,4,0
545412,48234,62843,80.26,84,18551,86,2919,04-04-1962,Self employed,28-09-2018,21,1
495921,48149,59386,83.86,74,16633,45,2578,10-04-1969,Self employed,08-09-2018,4,1
555188,47349,75001,65.33,11,24634,45,5956,22-02-1996,Self employed,03-10-2018,3,0
457535,53303,62477,88.03,202,23316,86,789,01-01-1979,Salaried,23-08-2018,18,0
516332,61947,80860,77.91,29,15413,45,5929,01-01-1993,Self employed,18-09-2018,3,0
543820,42394,68500,64.23,152,17964,86,5910,01-01-1969,Self employed,28-09-2018,3,0
592822,79186,107430,74.93,36,23480,51,6591,02-08-1993,Self employed,20-10-2018,13,0
646318,43394,59045,74.52,48,22012,45,6294,01-01-1985,Salaried,31-10-2018,5,0
626951,36439,69786,53.02,70,16692,51,2408,07-09-1996,Self employed,26-10-2018,4,0
529242,51428,68283,80.55,3,17431,86,559,10-06-1976,Self employed,23-09-2018,15,0
486593,37841,65410,59.62,67,16605,120,1506,08-03-1993,Self employed,31-08-2018,6,0
574028,65569,83163,84.17,138,22447,86,3352,14-07-1991,Salaried,13-10-2018,9,1
544829,57059,67635,87.23,16,21980,86,2958,01-01-1982,Salaried,28-09-2018,14,0
568911,59947,69086,88.3,105,22874,86,1242,01-01-1986,Salaried,11-10-2018,6,0
604989,48049,61565,79.1,34,24693,45,1164,24-10-1973,Self employed,23-10-2018,6,0
549607,60210,77233,78.98,20,14004,86,6155,22-06-1961,Salaried,29-09-2018,5,0
460259,56211,73000,79.16,2,14770,51,1628,07-10-1985,Salaried,24-08-2018,4,1
435905,36639,85350,44.52,10,13612,86,5656,30-01-1991,Self employed,13-08-2018,3,0
567393,58947,67874,89.14,77,17145,45,2278,01-06-1963,Salaried,10-10-2018,4,1
496365,47749,65800,74.47,67,18166,86,1429,28-02-1979,Self employed,08-09-2018,6,0
610619,35000,71801,50.14,146,21498,86,2965,03-08-1958,Salaried,24-10-2018,14,0
454621,48518,65500,79.39,147,17223,86,2796,14-02-1988,Self employed,22-08-2018,2,0
499605,62447,74718,86.32,48,21215,86,6430,01-01-1997,Self employed,11-09-2018,5,0
530067,69635,84485,85,13,15884,86,4680,15-02-1976,Salaried,23-09-2018,8,0
507124,60947,70067,89.91,10,17768,86,5655,05-05-1997,Self employed,14-09-2018,3,1
553080,48349,73500,66.67,2,23799,120,1631,18-07-1995,Self employed,30-09-2018,4,0
599742,44849,74751,62.21,120,23123,45,6925,01-01-1993,Self employed,22-10-2018,12,0
428055,43394,68286,65.9,74,21347,86,2578,11-07-1980,Salaried,08-08-2018,4,0
494803,53103,60460,89.98,67,16565,45,1515,01-01-1990,Salaried,07-09-2018,6,0
423435,53703,62644,87.8,67,22727,45,1482,21-02-1991,Salaried,06-08-2018,6,1
450222,47349,69101,72.36,103,23043,49,7012,01-07-1978,Salaried,20-08-2018,7,0
500406,48349,66884,74.76,162,21635,86,1895,22-11-1987,Salaried,11-09-2018,4,0
524305,52803,89163,60.56,19,14375,86,1924,29-04-1994,Salaried,21-09-2018,4,0
651531,48849,77000,64.29,16,22004,45,2950,01-01-1984,,31-10-2018,14,0
557173,57259,67714,86.39,138,14178,86,3381,18-07-1994,Salaried,04-10-2018,9,0
422801,51078,62338,85.02,165,21064,86,6504,11-03-1994,Self employed,06-08-2018,5,0
541977,46349,77582,60.58,10,22483,45,5662,16-02-1982,Self employed,27-09-2018,3,0
534860,49538,69053,75.3,152,15438,45,5163,06-08-1991,Salaried,25-09-2018,3,1
493083,53303,65687,83.73,3,14711,45,50,01-01-1957,Salaried,06-09-2018,1,0
448994,61213,69871,88.73,158,17383,86,1696,08-06-1979,Salaried,20-08-2018,4,0
530964,52853,70200,77.21,147,17285,86,2794,01-01-1993,Salaried,24-09-2018,2,0
586054,46349,70668,67.92,79,18169,86,766,25-09-1975,Salaried,18-10-2018,18,1
514883,51653,69719,78.89,160,22417,51,5,01-04-1985,Salaried,18-09-2018,1,1
632943,52478,61137,88.65,61,15894,86,1309,12-06-1986,Salaried,28-10-2018,6,0
431637,44349,65731,69.98,19,21264,86,1872,21-09-1991,Self employed,10-08-2018,4,0
597711,55599,73047,79.4,104,21013,86,7130,10-06-1966,Self employed,22-10-2018,10,1
459601,52150,68602,78.64,16,15694,86,2987,01-01-1999,,23-08-2018,14,1
425524,50303,58430,89,3,14112,45,6,12-02-1983,Self employed,07-08-2018,1,0
528068,58100,76460,77.16,146,15694,86,2959,03-07-1989,Salaried,22-09-2018,14,0
646720,67150,91369,75.52,120,18534,120,6946,05-01-1977,Salaried,31-10-2018,12,1
602284,62947,75426,84.85,162,15805,86,1849,01-02-1967,Self employed,22-10-2018,4,1
625196,50803,63775,82.32,207,24129,45,885,28-08-1989,Self employed,26-10-2018,6,1
591740,75751,111800,68.87,1,18294,48,5111,03-08-1994,Self employed,20-10-2018,3,1
513999,36201,84037,45.22,29,15410,49,5905,05-01-1984,Self employed,18-09-2018,3,1
602955,71123,101213,72.13,3,15809,51,30,15-08-1973,Self employed,23-10-2018,1,0
648792,50303,80967,64.22,146,17921,86,2956,01-01-1980,Self employed,31-10-2018,14,0
606931,63913,73600,88.32,135,20676,86,1800,07-08-1986,Salaried,23-10-2018,4,0
604289,30609,74773,41.63,36,23631,51,6656,01-10-1976,Self employed,23-10-2018,13,0
506422,60812,66898,94.92,36,21242,86,6608,01-01-1969,Salaried,14-09-2018,13,1
438295,64539,97387,67.77,18,16870,51,2730,28-10-1996,Salaried,14-08-2018,4,0
613485,36603,47580,81.13,65,18136,51,6821,05-10-1968,Self employed,24-10-2018,13,0
442483,48703,60534,86.73,3,14764,86,57,12-01-1978,Self employed,16-08-2018,1,0
540517,65382,75500,88.74,135,23313,86,1800,23-06-1974,Self employed,27-09-2018,4,0
454098,41394,55676,77.23,74,16633,45,2605,15-01-1987,Self employed,21-08-2018,4,1
509390,59013,77000,77.92,2,23799,120,1595,26-08-1962,Self employed,15-09-2018,4,0
456757,53503,65012,84.6,18,21537,86,2711,07-03-1994,Self employed,22-08-2018,4,0
584785,63322,86700,74.97,18,16870,51,2687,09-03-1986,Salaried,17-10-2018,4,0
525587,32534,59581,56.23,70,16689,45,2457,04-06-1982,Self employed,21-09-2018,4,0
486582,77079,106604,74.11,136,22826,49,3702,31-05-1996,Salaried,31-08-2018,8,0
564318,54373,82773,68.86,36,21949,86,6648,01-03-1964,Salaried,09-10-2018,13,0
448358,51078,60026,88.3,63,16309,45,7084,10-12-1975,Salaried,18-08-2018,10,0
628800,58213,70300,84.92,2,22293,45,1732,25-01-1988,Salaried,27-10-2018,4,0
636746,55259,104689,53.49,11,24169,51,5991,19-03-1991,Self employed,29-10-2018,3,0
488889,43394,58902,76.4,3,14656,86,7,21-03-1985,Self employed,04-09-2018,1,0
637814,34484,62089,56.37,17,13984,86,3239,01-07-1964,Salaried,29-10-2018,17,0
573630,57191,68798,85,136,14189,86,3731,28-07-1982,Self employed,13-10-2018,8,1
475447,47549,55030,89.41,48,23617,45,6313,10-07-1961,Salaried,30-08-2018,5,0
611564,57167,74685,79.8,105,20292,48,1204,01-05-1993,Salaried,24-10-2018,6,1
600858,55259,74839,74.83,136,14123,48,3772,19-05-1985,,22-10-2018,8,1
638442,54514,65364,86.44,153,15793,86,342,31-12-1968,Self employed,29-10-2018,11,0
648162,57259,77646,74.7,11,23936,45,5634,01-01-1985,Self employed,31-10-2018,3,0
488370,38939,64780,61.75,34,18312,51,1047,05-04-1990,Self employed,04-09-2018,6,1
582206,56759,75442,76.88,5,15642,120,3380,31-05-1969,Self employed,16-10-2018,9,0
466406,53003,68500,78.83,16,18317,86,2996,08-06-1997,Salaried,27-08-2018,17,0
567881,78023,107137,74.99,254,23692,120,6760,01-01-1995,Self employed,10-10-2018,13,1
535939,55013,77211,72.53,11,23442,51,5942,01-01-1982,Self employed,25-09-2018,3,0
560805,60263,75380,82.25,16,21124,86,2951,22-03-1988,Salaried,06-10-2018,14,0
